순위,관광지명,주소,분류,현지인 검색 수
1,롯데몰수지점,경기 용인시 수지구 성복2로 38-0,쇼핑몰,73909
2,구리농수산물도매시장,경기 구리시 동구릉로136번길 90-0,시장,73462
3,동탄호수공원,경기 화성시,도시공원,65525
4,궁평항,경기 화성시 궁평항로 1049-24,자연경관(하천/해양),65095
5,오이도빨강등대,경기 시흥시 오이도로 170-0,랜드마크관광,60436
6,에버랜드,경기 용인시 처인구 에버랜드로 199-0,테마공원,60389
7,이케아고양점,경기 고양시 덕양구 권율대로 420-0,쇼핑몰,56985
8,삼미시장,경기 시흥시 삼미시장2길 29-0,시장,56623
9,율동공원,경기 성남시 분당구 문정로 145-0,도시공원,51627
10,통복시장,경기 평택시 통복시장로25번길 10-0,시장,48088
11,이케아기흥점,경기 용인시 기흥구 신고매로 62-0,쇼핑몰,47781
12,롯데몰수원점,경기 수원시 권선구 세화로 134-0,쇼핑몰,42785
13,한국민속촌,경기 용인시 기흥구 민속촌로 90-0,역사유적지,41856
14,안양농수산물도매시장,경기 안양시 동안구 흥안대로 313-0,시장,40276
15,롯데시네마향남,경기 화성시 상신하길로298번길 7-21,공연시설,39539
16,일산호수공원,경기 고양시 일산동구 호수로 595-0,도시공원,39280
17,융릉과건릉,경기 화성시 효행로481번길 21-0,역사유적지,31333
18,대명포구,경기 김포시,자연경관(하천/해양),30602
19,사강시장,경기 화성시 사강로 189-0,시장,30390
20,LF스퀘어양주점,경기 양주시 평화로 1593-0,쇼핑몰,30072
21,헤이리예술마을,경기 파주시 헤이리마을길 59-118,기타관광,29956
22,앨리웨이광교,경기 수원시 영통구 광교호수공원로 80-0,쇼핑몰,29942
23,롯데시네마병점,경기 화성시 효행로 1052-0,공연시설,29553
24,제부도,경기 화성시,자연경관(하천/해양),29167
25,광명스피돔,경기 광명시 광명로 721-0,육상레저스포츠,29165
26,AK&기흥점,경기 용인시 기흥구 기흥역로 63-0,쇼핑몰,28488
27,롯데몰광명점,경기 광명시 일직로 17-0,쇼핑몰,28242
28,의정부제일시장,경기 의정부시 태평로73번길 20-0,시장,27704
29,안양예술공원,경기 안양시 만안구 예술공원로 195-1,도시공원,25398
30,상대원시장,경기 성남시 중원구 희망로344번길 6-0,시장,25298
31,수원농수산물도매시장,경기 수원시 권선구 세권로 243-0,시장,25200
32,킨텍스제1전시장,경기 고양시 일산서구 킨텍스로 217-60,전시시설,24584
33,광교호수공원,경기 수원시 영통구 광교호수공원로 102-0,도시공원,24564
34,스타필드하남,경기 하남시 미사대로 750-0,쇼핑몰,24551
35,안산농수산물도매시장,경기 안산시 상록구 충장로 312-0,시장,24321
36,리베라CC,경기 화성시 중리길 183-0,육상레저스포츠,24255
37,태재고개,경기 광주시,자연경관(산),23795
38,이케아광명점,경기 광명시 일직로 17-0,쇼핑몰,23658
39,스타필드고양,경기 고양시 덕양구 고양대로 1955-0,쇼핑몰,23252
40,물왕호수,경기 시흥시,자연경관(하천/해양),22422
40,시흥갯골생태공원,경기 시흥시 동서로 287-0,도시공원,22422
42,미사리경정공원,경기 하남시 미사대로 505-0,도시공원,22007
43,평택항국제여객터미널,경기 평택시 평택항만길 75-0,교통시설,21813
44,설봉공원,경기 이천시,도시공원,20653
45,운정호수공원,경기 파주시,도시공원,20599
46,전곡항,경기 화성시,자연경관(하천/해양),20583
47,마장호수출렁다리,경기 파주시,기타관광,20516
48,정왕시장,경기 시흥시 정왕시장길 51-0,시장,19746
49,현대프리미엄아울렛스페이스원,경기 남양주시 다산순환로 50-0,쇼핑몰,19654
50,덕풍전통시장,경기 하남시 수리북로 26-0,시장,19205
51,오산오색시장,경기 오산시 오산로278번길 10-0,시장,19194
52,행주산성,경기 고양시 덕양구 행주로15번길 0-0,역사유적지,19188
53,모란민속5일장,경기 성남시 중원구 둔촌대로 68-0,시장,18840
54,일산시장,경기 고양시 일산서구 일청로12번길 9-0,시장,18694
55,평화누리,경기 파주시,도시공원,18668
56,소풍정원,경기 평택시,도시공원,18634
57,수원월드컵경기장,경기 수원시 팔달구 월드컵로 310-0,레저스포츠시설,18191
58,리빙파워센터,경기 용인시 기흥구 신고매로 59-0,쇼핑몰,17667
59,중대물빛공원,경기 광주시,도시공원,17384
60,곤지암리조트,경기 광주시 도척윗로 278-0,콘도미니엄,17255
61,센트럴파크,경기 화성시 동탄공원로1길 26-23,도시공원,17195
62,원당시장,경기 고양시 덕양구 마상로154번길 54-0,시장,16950
63,CGV파주야당,경기 파주시 경의로 1074-0,공연시설,16896
64,은행시장,경기 성남시 중원구 산성대로 526-0,시장,16794
65,산본시장,경기 군포시 산본천로183번길 6-0,시장,16738
66,킨텍스제2전시장,경기 고양시 일산서구 킨텍스로 217-59,전시시설,16673
67,고양CC,경기 고양시 덕양구 흥도로 304-23,육상레저스포츠,16076
68,상동호수공원,경기 부천시 길주로 16-0,도시공원,16043
69,삼덕공원,경기 안양시 만안구 삼덕로 106-0,도시공원,15915
70,롯데피트인산본점,경기 군포시 번영로 485-0,쇼핑몰,15860
71,웅진플레이도시,경기 부천시 조마루로 2-0,테마공원,15782
72,화랑유원지,경기 안산시 단원구 동산로 268-0,복합관광시설,15753
73,그랑파사쥬,경기 하남시 미사강변동로 95-0,쇼핑몰,15719
74,서오릉,경기 고양시 덕양구 서오릉로 334-92,역사유적지,15567
75,부천중앙공원,경기 부천시 소향로 162-0,도시공원,15518
76,고양어울림누리,경기 고양시 덕양구 어울림로 33-0,기타문화관광지,15400
76,소노캄고양,경기 고양시 일산동구 태극로 20-0,호텔,15400
78,골드CC,경기 용인시 기흥구 기흥단지로 398-0,육상레저스포츠,15283
79,베니스스퀘어,경기 시흥시 서울대학로278번길 61-0,쇼핑몰,15264
80,렛츠런파크서울,경기 과천시 경마공원대로 107-0,육상레저스포츠,15246
81,평택호관광단지,경기 평택시 평택호길 159-0,복합관광시설,15106
82,백운호수,경기 의왕시 학현로 0-0,자연경관(하천/해양),15081
83,비승대체력단련장,경기 이천시,육상레저스포츠,14813
84,동탄북광장,경기 화성시 동탄중심상가2길 21-0,도시공원,14811
85,메가박스동탄,경기 화성시 동탄지성로 11-0,공연시설,14730
86,남서울CC,경기 성남시 분당구 판교백현로 161-0,육상레저스포츠,14346
87,이충레포츠공원,경기 평택시 장안웃길 149-0,도시공원,14339
88,서울대공원,경기 과천시 대공원광장로 102-0,테마공원,14155
89,시흥ABC행복학습타운,경기 시흥시 소래산길 11-0,기타문화관광지,14144
90,분당그린피아골프,경기 성남시 분당구 새마을로 255-0,육상레저스포츠,14050
91,봉선사,경기 남양주시 봉선사길 32-0,종교성지,14025
92,와동체육공원,경기 안산시 단원구 와동공원로 109-0,도시공원,13877
93,롯데시네마진접,경기 남양주시 해밀예당1로 36-0,공연시설,13872
94,메가박스의정부민락,경기 의정부시 오목로205번길 55-0,공연시설,13801
95,옥구공원,경기 시흥시 서해안로 277-0,도시공원,13778
96,수원컨벤션센터,경기 수원시 영통구 광교중앙로 140-0,전시시설,13694
97,배곧한울공원,경기 시흥시 해송십리로 61-0,도시공원,13692
98,박달시장,경기 안양시 만안구 박달우회로124번길 41-0,시장,13642
99,현대프리미엄아울렛김포점,경기 김포시 아라육로152번길 100-0,쇼핑몰,13387
100,용인중앙시장,경기 용인시 처인구 용문로 198-1,시장,13283
